id,title,text,description,url,created_at,publisher,source,query,like_count,retweet_count
sample_7984119508066353458,Breaking: Major developments in artificial intelligence trends sector,Breaking: Major developments in artificial intelligence trends sector. This is sample content for testing purposes when real news APIs are not available.,Sample news article about artificial intelligence trends,https://example.com/news/0,2025-10-07T17:51:35.979794,Sample News,sample,artificial intelligence trends,0,0
sample_1110058692681863515,Analysis: artificial intelligence trends market shows strong indicators,Analysis: artificial intelligence trends market shows strong indicators. This is sample content for testing purposes when real news APIs are not available.,Sample news article about artificial intelligence trends,https://example.com/news/1,2025-10-07T17:51:35.979843,Sample News,sample,artificial intelligence trends,0,0
sample_1434030436776822581,Expert opinion on artificial intelligence trends industry trends,Expert opinion on artificial intelligence trends industry trends. This is sample content for testing purposes when real news APIs are not available.,Sample news article about artificial intelligence trends,https://example.com/news/2,2025-10-07T17:51:35.979855,Sample News,sample,artificial intelligence trends,0,0
sample_3406431337478494201,New research reveals artificial intelligence trends potential,New research reveals artificial intelligence trends potential. This is sample content for testing purposes when real news APIs are not available.,Sample news article about artificial intelligence trends,https://example.com/news/3,2025-10-07T17:51:35.979863,Sample News,sample,artificial intelligence trends,0,0
sample_6597656684290019103,Market update: artificial intelligence trends stocks surge,Market update: artificial intelligence trends stocks surge. This is sample content for testing purposes when real news APIs are not available.,Sample news article about artificial intelligence trends,https://example.com/news/4,2025-10-07T17:51:35.979870,Sample News,sample,artificial intelligence trends,0,0
sample_3797911870439486419,Breaking: Major developments in market analysis sector,Breaking: Major developments in market analysis sector. This is sample content for testing purposes when real news APIs are not available.,Sample news article about market analysis,https://example.com/news/0,2025-10-07T17:51:39.970253,Sample News,sample,market analysis,0,0
sample_1683751989963243016,Analysis: market analysis market shows strong indicators,Analysis: market analysis market shows strong indicators. This is sample content for testing purposes when real news APIs are not available.,Sample news article about market analysis,https://example.com/news/1,2025-10-07T17:51:39.970283,Sample News,sample,market analysis,0,0
sample_4684773994372823219,Expert opinion on market analysis industry trends,Expert opinion on market analysis industry trends. This is sample content for testing purposes when real news APIs are not available.,Sample news article about market analysis,https://example.com/news/2,2025-10-07T17:51:39.970294,Sample News,sample,market analysis,0,0
sample_5334683939637726502,New research reveals market analysis potential,New research reveals market analysis potential. This is sample content for testing purposes when real news APIs are not available.,Sample news article about market analysis,https://example.com/news/3,2025-10-07T17:51:39.970304,Sample News,sample,market analysis,0,0
sample_7775564993854348773,Market update: market analysis stocks surge,Market update: market analysis stocks surge. This is sample content for testing purposes when real news APIs are not available.,Sample news article about market analysis,https://example.com/news/4,2025-10-07T17:51:39.970313,Sample News,sample,market analysis,0,0
sample_978767344693410762,Breaking: Major developments in competitor intelligence sector,Breaking: Major developments in competitor intelligence sector. This is sample content for testing purposes when real news APIs are not available.,Sample news article about competitor intelligence,https://example.com/news/0,2025-10-07T17:51:44.454150,Sample News,sample,competitor intelligence,0,0
sample_2403162601217980788,Analysis: competitor intelligence market shows strong indicators,Analysis: competitor intelligence market shows strong indicators. This is sample content for testing purposes when real news APIs are not available.,Sample news article about competitor intelligence,https://example.com/news/1,2025-10-07T17:51:44.454212,Sample News,sample,competitor intelligence,0,0
sample_4564589588112735783,Expert opinion on competitor intelligence industry trends,Expert opinion on competitor intelligence industry trends. This is sample content for testing purposes when real news APIs are not available.,Sample news article about competitor intelligence,https://example.com/news/2,2025-10-07T17:51:44.454234,Sample News,sample,competitor intelligence,0,0
sample_2731597151583735872,New research reveals competitor intelligence potential,New research reveals competitor intelligence potential. This is sample content for testing purposes when real news APIs are not available.,Sample news article about competitor intelligence,https://example.com/news/3,2025-10-07T17:51:44.454251,Sample News,sample,competitor intelligence,0,0
sample_4715261202108075603,Market update: competitor intelligence stocks surge,Market update: competitor intelligence stocks surge. This is sample content for testing purposes when real news APIs are not available.,Sample news article about competitor intelligence,https://example.com/news/4,2025-10-07T17:51:44.454267,Sample News,sample,competitor intelligence,0,0
simple_8398404666850797616,Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,http://rss.cnn.com/rss/edition.rss#item_0,2025-10-07T17:51:48.419941,CNN,simple_rss,technology innovation,0,0
simple_7724630000800856195,<![CDATA[Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates]]>,<![CDATA[Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates]]>,<![CDATA[Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates]]>,http://rss.cnn.com/rss/edition.rss#item_1,2025-10-07T17:51:48.420010,CNN,simple_rss,technology innovation,0,0
sample_7784012561704999048,Breaking: Major developments in business strategy sector,Breaking: Major developments in business strategy sector. This is sample content for testing purposes when real news APIs are not available.,Sample news article about business strategy,https://example.com/news/0,2025-10-07T17:51:52.080674,Sample News,sample,business strategy,0,0
sample_2288741299590414992,Analysis: business strategy market shows strong indicators,Analysis: business strategy market shows strong indicators. This is sample content for testing purposes when real news APIs are not available.,Sample news article about business strategy,https://example.com/news/1,2025-10-07T17:51:52.080702,Sample News,sample,business strategy,0,0
sample_6763259679056354829,Expert opinion on business strategy industry trends,Expert opinion on business strategy industry trends. This is sample content for testing purposes when real news APIs are not available.,Sample news article about business strategy,https://example.com/news/2,2025-10-07T17:51:52.080711,Sample News,sample,business strategy,0,0
sample_376786193143748610,New research reveals business strategy potential,New research reveals business strategy potential. This is sample content for testing purposes when real news APIs are not available.,Sample news article about business strategy,https://example.com/news/3,2025-10-07T17:51:52.080720,Sample News,sample,business strategy,0,0
sample_8320536403123667151,Market update: business strategy stocks surge,Market update: business strategy stocks surge. This is sample content for testing purposes when real news APIs are not available.,Sample news article about business strategy,https://example.com/news/4,2025-10-07T17:51:52.080729,Sample News,sample,business strategy,0,0
